player_id,player_name,pos,foot,birth_date,weight,height,team,gols,assistencias,soma_gol_assist
70389,Cédric Soares,DEF,right,19910831,67,172,Portugal,0,0,0
332605,Ramadan Sobhi,MID,right,19970123,72,183,Egypt,0,0,0
37725,C. Kouyaté,MID,right,19891221,78,193,Senegal,0,0,0
37831,C. Bacca,FWD,right,19860908,77,181,Colombia,0,0,0
5295,O. Ighalo,FWD,right,19890616,82,181,Nigeria,0,0,0
38084,B. Bjarnason,MID,right,19880527,75,178,Iceland,0,0,0
246928,W. Barrios,MID,right,19931016,74,178,Colombia,0,0,0
7860,T. Vermaelen,DEF,left,19851114,80,183,Belgium,0,0,0
7898,J. Obi Mikel,MID,right,19870422,83,188,Nigeria,0,0,0
8034,D. Boyata,DEF,right,19901128,84,188,Belgium,0,0,0
55983,R. Sigurðsson,DEF,right,19860619,77,187,Iceland,0,0,0
33032,K. Grosicki,MID,right,19880608,78,180,Poland,0,1,1
285508,K. Iheanacho,FWD,left,19960310,77,187,Nigeria,0,0,0
173214,T. Werner,FWD,right,19960306,75,180,Germany,0,0,0
11093,W. Troost-Ekong,DEF,right,19930901,82,191,Nigeria,0,0,0
11155,B. Ruiz,MID,left,19850818,82,188,Costa Rica,0,0,0
101857,Y. Zhirkov,MID,left,19830820,75,180,Russia,0,0,0
241945,P. Sisto,MID,right,19950204,64,171,Denmark,0,0,0
95010,H. Yamaguchi,MID,right,19900610,72,173,Japan,0,0,0
209792,B. Idowu,DEF,right,19920518,77,178,Nigeria,0,0,0
79006,S. Azmoun,FWD,right,19950101,79,186,Iran,0,0,0
79248,E. Hajsafi,DEF,left,19900225,74,176,Iran,0,0,0
79381,A. Jahanbakhsh,FWD,right,19930811,78,180,Iran,0,0,0
388928,Amr Warda,MID,right,19930917,70,176,Egypt,0,0,0
14731,M. Gómez,FWD,right,19850710,88,189,Germany,0,0,0
14732,T. Müller,FWD,right,19890913,75,186,Germany,0,0,0
14763,S. Okazaki,FWD,right,19860416,70,174,Japan,0,0,0
14817,R. Lewandowski,FWD,right,19880821,79,185,Poland,0,0,0
146583,J. Brandt,MID,right,19960502,82,183,Germany,0,0,0
49977,M. Lang,DEF,right,19910208,79,185,Switzerland,0,0,0
50102,F. Schär,DEF,right,19911220,84,188,Switzerland,0,0,0
246946,E. Skhiri,MID,right,19950510,69,185,Tunisia,0,0,0
51004,C. Borges,MID,right,19880827,76,182,Costa Rica,0,0,0
101620,M. da Costa,DEF,right,19860506,82,191,Morocco,0,0,0
20465,S. Lichtsteiner,DEF,right,19840116,75,182,Switzerland,0,0,0
86234,E. Pérez,MID,right,19860222,71,177,Argentina,0,0,0
20766,H. Seferović,FWD,left,19920222,85,185,Switzerland,0,0,0
20941,A. Ljajić,FWD,right,19910929,74,182,Serbia,0,0,0
101846,M. Boussoufa,MID,right,19840815,61,168,Morocco,0,0,0
119932,Mahmoud Kahraba,MID,right,19940413,76,182,Egypt,0,0,0
119951,Ahmed Hegazy,DEF,right,19910125,83,193,Egypt,0,0,0
54495,B. Sigurðarson,FWD,right,19910226,81,186,Iceland,0,0,0
120225,Marwan Mohsen,FWD,right,19890226,80,184,Egypt,0,0,0
349687,Hwang Hee-Chan,FWD,right,19960126,70,177,Korea Republic,0,0,0
120339,Mohamed Elneny,MID,right,19920711,70,180,Egypt,0,0,0
448079,I. Sarr,MID,right,19980225,68,178,Senegal,0,0,0
55968,M. Braithwaite,FWD,right,19910605,77,177,Denmark,0,0,0
55977,C. Gamboa,DEF,right,19891024,67,175,Costa Rica,0,0,0
